Row_ID,1 None,2 None,3 None,1 TGFB,2 TGFB,3 TGFB
Q96I99,2.88955182715346,4.32649648270644,3.6254406331795,5.33062069342601,5.44173679679544,4.20681728701586
Q7Z460,3.54513291922484,5.21182333609217,4.66739112681375,5.28515329772198,6.4293185726815,5.38063323792466
Q9H0E2,4.79601200437307,4.89157799316417,4.86472014415019,5.06572707205639,4.63616736716567,4.98644916024781
P40227,6.13503023820175,7.18529973920883,7.38527198596676,7.29282901235771,7.22283969018773,7.34757716539787
P13693,4.86436637838909,6.16007060056582,6.04964959908439,5.95736899892906,6.03117599289456,6.2211928585412
P20936,4.30147602582771,5.07659224116535,4.84175644789169,4.98682255069513,4.95474185217719,4.52155897367767
P33527,4.37913119846189,4.38315292765121,4.68376843120498,4.72299057116292,3.59168934679825,3.63999051813102
Q9NZL4,3.5328155244445,4.28359249291361,3.05104330155262,4.58472699640014,4.3278030682767,4.22616648576637
P16435,5.31193818306232,5.44530663502475,4.99715310766656,5.61918118556808,4.89462733633284,5.00869588013006
Q9NZL9,5.52431769170668,4.70933743321197,4.97690273081208,5.11723742842736,4.48522090768989,4.91993150430907
Q13724,6.14734475180263,5.41791625900021,5.51593995906805,6.15616978812629,5.66723464878676,5.53953718132682
Q9H4M9,6.40666786136113,5.24471663755475,6.14321435546874,5.70013857073296,6.3720507215623,6.06988836769229
P84077,6.88399621636256,6.43412145196586,6.50406329891147,5.8131242430139,5.60013219011827,5.85091852804337
P84074,4.60117508111544,1.97105705264184,0.692845468125578,3.6084156667247,-0.104891508671918,-0.322569816695857
P23919,4.86273866733057,5.07134403139639,5.36685174561687,4.72765221792121,4.88730103462433,4.79258881689776
Q9BUF5,7.62804993482981,6.59708008139543,6.84193352852816,6.77081670644521,6.7933192028681,7.37867487091402
Q4VXU2,4.20264024933037,3.59249722884655,2.36916943768998,2.79672324561691,3.78398444484565,2.90003374184037
Q96N66,4.00521480514121,3.16602990429086,4.42969018443352,4.33179112580017,4.44880480196116,4.95046625290548
Q07960,5.58299351040997,6.50847005525704,6.51867516629167,6.68818439902277,6.56699638682238,6.19883880519839
Q96N67,4.81343763038898,5.23425859299171,5.22512472989206,5.4209030197194,5.50593064552368,5.33001212612309
Q03252,6.46226062051057,4.88546171262663,5.94146267013522,5.59351679049271,5.76675890892359,5.84694313626491
P02545,9.3173840806833,8.26742172111874,8.7067636966452,8.13484468937616,8.46402434434635,8.2944317581657
P40429,5.40639055558024,3.96512095690537,6.13996195557129,5.86041338091255,5.82797089380405,5.18064839220588
Q13838,6.23527362607577,6.63260729551623,6.44372461680737,6.79818341083367,6.58343552985716,6.64944435160763
P62258,7.29667675467917,7.38955136000999,7.47888699406797,7.08627008392844,7.13066197503867,7.29033994958084
P48960,4.80413282858537,3.98478802121682,4.56102906162125,4.16681903655116,5.293033079038,4.88510546793082
P04259,2.42194058117636,3.44420937185776,4.59013430182015,4.88527871434786,5.42215853174181,0.807147089753081
P05386,4.6351537958291,6.30164335480888,6.45625617115182,6.66332174187867,6.74658806565899,6.86778736223088
P05387,4.47291860244365,6.75033273256834,7.2772960241891,7.26030488097388,7.09929359982263,6.94131658885231
P05388,4.47370402114392,6.33875728681738,6.56847693076815,7.07881305906409,6.53875697497592,6.8291722828331
Q9UJ70,5.84548892012192,5.92455837097545,6.11516472718443,5.94547744393324,6.25988319691107,6.34608598243748
P20618,6.6728453200831,6.82414581135774,6.89692667790889,7.05409826175354,6.97899249857698,6.81193522055502
P52272,7.92551494880145,7.04145094613827,6.87374583739444,7.52305236106363,7.10829980330648,6.76394756146036
Q15366,5.92664276500982,6.39977033222118,6.30547458026287,6.05629479747103,6.90447763466133,6.36655588516234
Q15365,6.69649333213843,6.62815827833949,6.63285839278683,6.60033439869846,6.76514026252801,6.75364385742003
O15258,4.4990872190165,4.72522185804621,4.75671424031986,3.7000442123445,4.5904195453554,4.87393766824531
Q9H9Y6,4.0540746386026,3.73715021052988,3.96522725161036,4.35891402636225,3.91102032138617,4.2235727407269
P29401,6.5533583838378,7.57914018587464,7.71042244667642,7.55002572089871,7.69696650487536,7.35346622047011
Q9Y305,5.19451164278604,4.32378380738353,3.33841100614381,4.95079352047882,5.48984593271896,4.72575119808449
P39023,6.76716474289013,7.89168922637912,7.92669464900711,7.57244817786744,7.69345517743506,7.95198392558529
